Frame, FPS, Frame Time
1, 50, 0.02
2, 50, 0.02
3, 3, 0.3333333
4, 4.337533, 0.2305458
5, 31.9781, 0.0312714
6, 150.9024, 0.0066268
7, 70.26864, 0.0142311
8, 73.6518, 0.0135774
9, 70.97937, 0.0140886
10, 71.51592, 0.0139829
11, 71.9052, 0.0139072
12, 71.53127, 0.0139799
13, 73.72402, 0.0135641
14, 71.39594, 0.0140064
15, 71.45052, 0.0139957
16, 72.5363, 0.0137862
17, 71.02323, 0.0140799
18, 73.22735, 0.0136561
19, 17.956, 0.0556917
20, 70.24938, 0.014235
21, 72.88789, 0.0137197
22, 71.86851, 0.0139143
23, 70.6125, 0.0141618
24, 72.23816, 0.0138431
25, 65.62799, 0.0152374
26, 77.59396, 0.0128876
27, 70.18922, 0.0142472
28, 72.94531, 0.0137089
29, 71.973, 0.0138941
30, 73.46405, 0.0136121
31, 68.55184, 0.0145875
32, 71.2205, 0.0140409
33, 76.33005, 0.013101
34, 71.54662, 0.0139769
35, 73.22789, 0.013656
36, 70.73136, 0.014138
37, 72.19591, 0.0138512
38, 71.9787, 0.013893
39, 71.23015, 0.014039
40, 72.41392, 0.0138095
41, 72.07675, 0.0138741
42, 71.72263, 0.0139426
43, 71.88039, 0.013912
44, 70.27407, 0.01423
45, 72.01238, 0.0138865
46, 68.41911, 0.0146158
47, 50.97022, 0.0196193
48, 55.54198, 0.0180044
49, 3.463075, 0.2887607
50, 69.34235, 0.0144212
51, 75.757, 0.0132001
52, 69.31352, 0.0144272
53, 68.9408, 0.0145052
54, 69.54732, 0.0143787
55, 70.24347, 0.0142362
56, 31.93664, 0.031312
57, 39.87798, 0.0250765
58, 68.39992, 0.0146199
59, 29.98447, 0.0333506
60, 40.69507, 0.024573
61, 91.1469, 0.0109713
62, 75.78169, 0.0131958
63, 73.65397, 0.013577
64, 16.18545, 0.0617839
65, 45.3264, 0.0220622
66, 78.28708, 0.0127735
67, 71.92072, 0.0139042
68, 72.27104, 0.0138368
69, 72.38037, 0.0138159
70, 74.79767, 0.0133694
71, 69.60007, 0.0143678
72, 69.61268, 0.0143652
73, 24.24666, 0.0412428
74, 75.99015, 0.0131596
75, 71.24943, 0.0140352
76, 72.26687, 0.0138376
77, 70.29333, 0.0142261
78, 71.39084, 0.0140074
79, 70.56665, 0.014171
80, 69.69418, 0.0143484
81, 68.92226, 0.0145091
82, 73.63933, 0.0135797
83, 71.10808, 0.0140631
84, 68.50113, 0.0145983
85, 73.60897, 0.0135853
86, 68.84492, 0.0145254
87, 76.82262, 0.013017
88, 70.82906, 0.0141185
89, 69.84411, 0.0143176
90, 73.5332, 0.0135993
91, 70.68287, 0.0141477
92, 73.92076, 0.013528
93, 64.97388, 0.0153908
94, 74.53842, 0.0134159
95, 76.42163, 0.0130853
96, 74.29144, 0.0134605
97, 70.07217, 0.014271
98, 69.70584, 0.014346
99, 74.36216, 0.0134477
100, 71.95953, 0.0138967
101, 72.52158, 0.013789
102, 76.15276, 0.0131315
103, 72.48898, 0.0137952
104, 72.11157, 0.0138674
105, 68.48846, 0.014601
106, 70.69886, 0.0141445
107, 72.01187, 0.0138866
108, 72.47742, 0.0137974
109, 71.2672, 0.0140317
110, 71.17083, 0.0140507
111, 70.36308, 0.014212
112, 74.07681, 0.0134995
113, 71.60554, 0.0139654
114, 71.22964, 0.0140391
115, 72.73574, 0.0137484
116, 71.35823, 0.0140138
117, 70.98089, 0.0140883
118, 72.27575, 0.0138359
119, 71.22659, 0.0140397
120, 67.18985, 0.0148832
121, 72.56736, 0.0137803
122, 75.11568, 0.0133128
123, 69.36497, 0.0144165
124, 69.37122, 0.0144152
125, 80.89371, 0.0123619
126, 71.81535, 0.0139246
127, 69.2353, 0.0144435
128, 71.68716, 0.0139495
129, 67.73141, 0.0147642
130, 74.84133, 0.0133616
131, 72.76802, 0.0137423
132, 68.20771, 0.0146611
133, 79.11768, 0.0126394
134, 72.18184, 0.0138539
135, 71.12628, 0.0140595
136, 52.85244, 0.0189206
137, 101.7449, 0.0098285
138, 77.3473, 0.0129287
139, 71.26974, 0.0140312
140, 71.90779, 0.0139067
141, 71.13995, 0.0140568
142, 71.79885, 0.0139278
143, 72.07415, 0.0138746
144, 24.56906, 0.0407016
