Frame, FPS, Frame Time
1, 50, 0.02
2, 50, 0.02
3, 3, 0.3333333
4, 5.595667, 0.1787097
5, 43.89816, 0.02278
6, 113.7566, 0.0087907
7, 70.61549, 0.0141612
8, 73.64313, 0.013579
9, 70.4677, 0.0141909
10, 71.61938, 0.0139627
11, 72.55367, 0.0137829
12, 71.22811, 0.0140394
13, 72.71458, 0.0137524
14, 72.42074, 0.0138082
15, 70.93356, 0.0140977
16, 72.15424, 0.0138592
17, 71.373, 0.0140109
18, 72.2841, 0.0138343
19, 72.23816, 0.0138431
20, 71.20022, 0.0140449
21, 72.44592, 0.0138034
22, 72.21781, 0.013847
23, 71.83083, 0.0139216
24, 71.39848, 0.0140059
25, 72.16309, 0.0138575
26, 71.88866, 0.0139104
27, 23.76573, 0.0420774
28, 73.01722, 0.0136954
29, 72.09857, 0.0138699
30, 72.03313, 0.0138825
31, 71.73756, 0.0139397
32, 71.64606, 0.0139575
33, 72.01291, 0.0138864
34, 71.64248, 0.0139582
35, 71.3399, 0.0140174
36, 72.14539, 0.0138609
37, 71.42245, 0.0140012
38, 72.40553, 0.0138111
39, 70.99399, 0.0140857
40, 72.28097, 0.0138349
41, 71.69743, 0.0139475
42, 71.77514, 0.0139324
43, 35.65749, 0.0280446
44, 71.90882, 0.0139065
45, 72.25069, 0.0138407
46, 72.52263, 0.0137888
47, 71.27126, 0.0140309
48, 59.28245, 0.0168684
49, 71.94969, 0.0138986
50, 70.96426, 0.0140916
51, 72.05286, 0.0138787
52, 44.35888, 0.0225434
53, 28.03791, 0.035666
54, 14.25513, 0.0701502
55, 18.06107, 0.0553677
56, 74.91254, 0.0133489
57, 70.24199, 0.0142365
58, 69.57538, 0.0143729
59, 70.2119, 0.0142426
60, 71.27126, 0.0140309
61, 69.83972, 0.0143185
62, 70.42899, 0.0141987
63, 70.56167, 0.014172
64, 70.88579, 0.0141072
65, 72.52999, 0.0137874
66, 68.27103, 0.0146475
67, 73.21609, 0.0136582
68, 71.00407, 0.0140837
69, 72.91447, 0.0137147
70, 71.13893, 0.014057
71, 72.17819, 0.0138546
72, 69.63012, 0.0143616
73, 73.38264, 0.0136272
74, 71.36129, 0.0140132
75, 72.04299, 0.0138806
76, 72.4811, 0.0137967
77, 71.31702, 0.0140219
78, 35.91322, 0.0278449
79, 69.96089, 0.0142937
80, 73.14861, 0.0136708
81, 70.96326, 0.0140918
82, 71.15614, 0.0140536
83, 72.16517, 0.0138571
84, 72.25486, 0.0138399
85, 71.48525, 0.0139889
86, 72.21625, 0.0138473
87, 71.95798, 0.013897
88, 71.59785, 0.0139669
89, 71.49292, 0.0139874
90, 71.84166, 0.0139195
91, 68.94792, 0.0145037
