Frame, FPS, Frame Time
1, 50, 0.02
2, 50, 0.02
3, 3, 0.3333333
4, 5.480073, 0.1824793
5, 58.74094, 0.0170239
6, 92.70074, 0.0107874
7, 71.28092, 0.014029
8, 72.42388, 0.0138076
9, 71.70824, 0.0139454
10, 67.95048, 0.0147166
11, 69.52217, 0.0143839
12, 79.65716, 0.0125538
13, 65.86444, 0.0151827
14, 77.91135, 0.0128351
15, 70.90891, 0.0141026
16, 72.86824, 0.0137234
17, 71.84992, 0.0139179
18, 71.53281, 0.0139796
19, 70.00301, 0.0142851
20, 72.87408, 0.0137223
21, 72.7056, 0.0137541
22, 72.11833, 0.0138661
23, 70.74387, 0.0141355
24, 72.01498, 0.013886
25, 71.46737, 0.0139924
26, 72.29926, 0.0138314
27, 72.67706, 0.0137595
28, 23.85456, 0.0419207
29, 71.53536, 0.0139791
30, 72.55209, 0.0137832
31, 71.73602, 0.01394
32, 71.3939, 0.0140068
33, 72.89586, 0.0137182
34, 71.30938, 0.0140234
35, 70.87373, 0.0141096
36, 73.17377, 0.0136661
37, 71.70618, 0.0139458
38, 70.90338, 0.0141037
39, 72.08818, 0.0138719
40, 71.68048, 0.0139508
41, 72.47427, 0.013798
42, 71.28041, 0.0140291
43, 72.21625, 0.0138473
44, 71.01668, 0.0140812
45, 22.36076, 0.0447212
46, 71.61272, 0.013964
47, 71.41939, 0.0140018
48, 52.91565, 0.018898
49, 38.75548, 0.0258028
50, 69.18739, 0.0144535
51, 14.90269, 0.067102
52, 70.20254, 0.0142445
53, 76.3831, 0.0130919
54, 69.48305, 0.014392
55, 68.81649, 0.0145314
56, 68.99026, 0.0144948
57, 69.84898, 0.0143166
58, 23.535, 0.0424899
59, 68.02166, 0.0147012
60, 71.95694, 0.0138972
61, 70.82554, 0.0141192
62, 70.93406, 0.0140976
63, 70.94765, 0.0140949
64, 71.6081, 0.0139649
65, 72.05026, 0.0138792
66, 69.97754, 0.0142903
67, 72.65594, 0.0137635
68, 69.3717, 0.0144151
69, 73.20216, 0.0136608
70, 71.69846, 0.0139473
71, 71.53638, 0.0139789
72, 72.68868, 0.0137573
73, 69.80852, 0.0143249
74, 72.31808, 0.0138278
75, 71.41429, 0.0140028
76, 73.29444, 0.0136436
77, 72.01394, 0.0138862
78, 70.15968, 0.0142532
79, 72.12666, 0.0138645
80, 70.89986, 0.0141044
81, 35.92728, 0.027834
82, 73.11865, 0.0136764
83, 71.87885, 0.0139123
84, 71.92226, 0.0139039
85, 71.20834, 0.0140433
86, 69.65632, 0.0143562
87, 73.47107, 0.0136108
88, 72.19018, 0.0138523
89, 69.35101, 0.0144194
90, 71.90572, 0.0139071
91, 73.55807, 0.0135947
