Frame, FPS, Frame Time
1, 50, 0.02
2, 50, 0.02
3, 3, 0.3333333
4, 5.479611, 0.1824947
5, 22.00273, 0.0454489
6, 108.1151, 0.0092494
7, 71.10049, 0.0140646
8, 71.98439, 0.0138919
9, 73.23325, 0.013655
10, 72.03573, 0.013882
11, 69.99615, 0.0142865
12, 71.44797, 0.0139962
13, 73.03001, 0.013693
14, 36.06476, 0.0277279
15, 72.51369, 0.0137905
16, 72.03988, 0.0138812
17, 71.1101, 0.0140627
18, 72.77544, 0.0137409
19, 71.16475, 0.0140519
20, 72.26896, 0.0138372
21, 71.95383, 0.0138978
22, 69.28374, 0.0144334
23, 71.1106, 0.0140626
24, 75.45461, 0.013253
25, 71.38421, 0.0140087
26, 70.76039, 0.0141322
27, 72.88364, 0.0137205
28, 70.86771, 0.0141108
29, 72.06895, 0.0138756
30, 71.57223, 0.0139719
31, 23.29878, 0.0429207
32, 70.09182, 0.014267
33, 79.70477, 0.0125463
34, 73.13951, 0.0136725
35, 71.12578, 0.0140596
36, 72.27627, 0.0138358
37, 72.0861, 0.0138723
38, 71.58094, 0.0139702
39, 70.71886, 0.0141405
40, 72.37618, 0.0138167
41, 71.68613, 0.0139497
42, 72.17403, 0.0138554
43, 70.19563, 0.0142459
44, 72.96075, 0.013706
45, 71.72417, 0.0139423
46, 71.65172, 0.0139564
47, 68.30461, 0.0146403
48, 75.99939, 0.013158
49, 72.2272, 0.0138452
50, 47.33638, 0.0211254
51, 71.76278, 0.0139348
52, 9.010446, 0.1109823
53, 69.82118, 0.0143223
54, 52.69093, 0.0189786
55, 128.6869, 0.0077708
56, 80.35033, 0.0124455
57, 69.75301, 0.0143363
58, 67.75068, 0.01476
59, 72.16361, 0.0138574
60, 70.39676, 0.0142052
61, 67.69794, 0.0147715
62, 70.27111, 0.0142306
63, 70.19563, 0.0142459
64, 72.18288, 0.0138537
65, 72.4622, 0.0138003
66, 70.92048, 0.0141003
67, 71.286, 0.014028
68, 71.99994, 0.0138889
69, 70.22077, 0.0142408
70, 75.92438, 0.013171
71, 70.44486, 0.0141955
72, 72.40868, 0.0138105
73, 71.41174, 0.0140033
74, 69.42178, 0.0144047
75, 73.69468, 0.0135695
76, 71.884, 0.0139113
77, 70.38883, 0.0142068
78, 72.89693, 0.013718
79, 71.67226, 0.0139524
80, 71.0313, 0.0140783
81, 34.98338, 0.028585
82, 71.40919, 0.0140038
83, 75.31765, 0.0132771
84, 70.4538, 0.0141937
85, 74.12459, 0.0134908
86, 71.92692, 0.013903
87, 70.6105, 0.0141622
88, 72.03469, 0.0138822
89, 71.04897, 0.0140748
90, 71.70412, 0.0139462
91, 71.03837, 0.0140769
