Frame, FPS, Frame Time
1, 50, 0.02
2, 50, 0.02
3, 3, 0.3333333
4, 4.546982, 0.2199261
5, 73.42683, 0.013619
6, 116.832, 0.0085593
7, 70.41509, 0.0142015
8, 73.6822, 0.0135718
9, 71.26771, 0.0140316
10, 73.04495, 0.0136902
11, 70.21929, 0.0142411
12, 72.65277, 0.0137641
13, 71.02575, 0.0140794
14, 72.64539, 0.0137655
15, 71.11768, 0.0140612
16, 70.20648, 0.0142437
17, 72.90702, 0.0137161
18, 72.9267, 0.0137124
19, 72.08298, 0.0138729
20, 71.96833, 0.013895
21, 70.9819, 0.0140881
22, 72.62006, 0.0137703
23, 72.05493, 0.0138783
24, 71.68407, 0.0139501
25, 11.92195, 0.0838789
26, 72.38247, 0.0138155
27, 72.00201, 0.0138885
28, 71.40409, 0.0140048
29, 72.05493, 0.0138783
30, 71.6851, 0.0139499
31, 71.63324, 0.01396
32, 71.12426, 0.0140599
33, 72.03158, 0.0138828
34, 71.88659, 0.0139108
35, 71.55737, 0.0139748
36, 70.54823, 0.0141747
37, 72.66492, 0.0137618
38, 71.44847, 0.0139961
39, 52.16811, 0.0191688
40, 108.2251, 0.00924
41, 75.04972, 0.0133245
42, 67.91633, 0.014724
43, 77.10635, 0.0129691
44, 66.57834, 0.0150199
45, 77.43354, 0.0129143
46, 68.36158, 0.0146281
47, 71.86645, 0.0139147
48, 76.11856, 0.0131374
49, 68.14914, 0.0146737
50, 71.53895, 0.0139784
51, 76.4602, 0.0130787
52, 73.29229, 0.013644
53, 71.20985, 0.014043
54, 4.778543, 0.2092688
55, 71.36078, 0.0140133
56, 72.64011, 0.0137665
57, 70.38437, 0.0142077
58, 70.51391, 0.0141816
59, 72.42178, 0.013808
60, 21.93141, 0.0455967
61, 36.4571, 0.0274295
62, 71.28498, 0.0140282
63, 34.36403, 0.0291002
64, 26.78926, 0.0373284
65, 70.50793, 0.0141828
66, 73.43923, 0.0136167
67, 75.69507, 0.0132109
68, 72.07623, 0.0138742
69, 71.29464, 0.0140263
70, 73.07645, 0.0136843
71, 71.54765, 0.0139767
72, 70.15378, 0.0142544
73, 70.38338, 0.0142079
74, 68.2361, 0.014655
75, 73.39557, 0.0136248
76, 77.08674, 0.0129724
77, 71.37606, 0.0140103
78, 69.14816, 0.0144617
79, 29.13083, 0.0343279
80, 35.2367, 0.0283795
81, 14.51564, 0.0688912
82, 69.16969, 0.0144572
83, 87.87115, 0.0113803
84, 70.07217, 0.014271
85, 68.82123, 0.0145304
86, 62.04475, 0.0161174
87, 79.21671, 0.0126236
88, 70.02016, 0.0142816
89, 63.09347, 0.0158495
90, 68.23703, 0.0146548
91, 82.76159, 0.0120829
