Time	Position
2023-11-12 01:11:04.907	(0.03, 0.75, 0.91)
2023-11-12 01:11:06.119	(0.03, 0.75, 0.91)
2023-11-12 01:11:06.120	(0.03, 0.75, 0.91)
2023-11-12 01:11:06.121	(0.03, 0.75, 0.91)
2023-11-12 01:11:06.174	(0.03, 0.75, 0.91)
2023-11-12 01:11:06.214	(0.03, 0.75, 0.91)
2023-11-12 01:11:06.320	(0.03, 0.75, 0.91)
2023-11-12 01:11:06.415	(0.03, 0.75, 0.91)
2023-11-12 01:11:06.515	(0.03, 0.75, 0.91)
2023-11-12 01:11:06.615	(0.03, 0.75, 0.91)
2023-11-12 01:11:06.734	(0.03, 0.75, 0.91)
2023-11-12 01:11:06.816	(0.03, 0.75, 0.91)
2023-11-12 01:11:06.914	(0.03, 0.75, 0.91)
2023-11-12 01:11:07.014	(0.03, 0.75, 0.91)
2023-11-12 01:11:07.112	(0.03, 0.75, 0.91)
2023-11-12 01:11:07.217	(0.03, 0.75, 0.91)
2023-11-12 01:11:07.314	(0.03, 0.75, 0.91)
2023-11-12 01:11:07.414	(0.03, 0.75, 0.91)
2023-11-12 01:11:07.515	(0.03, 0.75, 0.91)
2023-11-12 01:11:07.612	(0.03, 0.75, 0.91)
2023-11-12 01:11:07.714	(0.03, 0.75, 0.91)
2023-11-12 01:11:07.815	(0.03, 0.75, 0.91)
2023-11-12 01:11:07.936	(0.03, 0.75, 0.91)
2023-11-12 01:11:08.014	(0.03, 0.75, 0.91)
2023-11-12 01:11:08.114	(0.03, 0.75, 0.91)
2023-11-12 01:11:08.329	(0.03, 0.69, 0.91)
2023-11-12 01:11:08.334	(0.02, 0.68, 0.91)
2023-11-12 01:11:08.413	(0.02, 0.68, 0.91)
2023-11-12 01:11:08.513	(0.02, 0.68, 0.91)
2023-11-12 01:11:08.614	(0.02, 0.68, 0.91)
2023-11-12 01:11:08.712	(0.02, 0.68, 0.91)
2023-11-12 01:11:08.812	(0.02, 0.68, 0.91)
2023-11-12 01:11:08.989	(0.02, 0.68, 0.91)
2023-11-12 01:11:09.015	(0.02, 0.68, 0.91)
2023-11-12 01:11:09.112	(0.02, 0.68, 0.91)
2023-11-12 01:11:09.215	(0.02, 0.68, 0.91)
2023-11-12 01:11:09.312	(0.02, 0.68, 0.91)
2023-11-12 01:11:09.415	(0.02, 0.68, 0.91)
2023-11-12 01:11:09.513	(0.02, 0.68, 0.91)
2023-11-12 01:11:09.613	(0.02, 0.68, 0.91)
2023-11-12 01:11:09.712	(0.02, 0.68, 0.91)
2023-11-12 01:11:09.817	(0.02, 0.68, 0.91)
2023-11-12 01:11:09.980	(0.02, 0.68, 0.91)
2023-11-12 01:11:10.015	(0.02, 0.68, 0.91)
2023-11-12 01:11:10.114	(0.02, 0.68, 0.91)
2023-11-12 01:11:10.215	(0.02, 0.68, 0.91)
2023-11-12 01:11:10.440	(0.02, 0.68, 0.91)
2023-11-12 01:11:10.441	(0.02, 0.68, 0.91)
2023-11-12 01:11:10.515	(0.02, 0.68, 0.91)
2023-11-12 01:11:10.612	(0.02, 0.68, 0.91)
2023-11-12 01:11:10.715	(0.02, 0.68, 0.91)
2023-11-12 01:11:10.815	(0.02, 0.68, 0.91)
2023-11-12 01:11:10.915	(0.02, 0.68, 0.91)
2023-11-12 01:11:11.014	(0.02, 0.68, 0.91)
2023-11-12 01:11:11.116	(0.02, 0.68, 0.91)
2023-11-12 01:11:11.227	(0.02, 1.19, 0.91)
2023-11-12 01:11:11.312	(0.02, 1.31, 0.91)
2023-11-12 01:11:11.415	(0.02, 1.07, 0.91)
2023-11-12 01:11:11.530	(0.02, 0.74, 0.91)
2023-11-12 01:11:11.614	(0.02, 0.68, 0.91)
2023-11-12 01:11:11.713	(0.02, 0.68, 0.91)
2023-11-12 01:11:11.812	(0.02, 0.68, 0.91)
2023-11-12 01:11:11.923	(0.02, 0.68, 0.91)
2023-11-12 01:11:12.015	(0.02, 0.68, 0.91)
2023-11-12 01:11:12.115	(0.02, 0.68, 0.91)
2023-11-12 01:11:12.227	(0.02, 0.68, 0.91)
2023-11-12 01:11:12.313	(0.02, 0.68, 0.91)
2023-11-12 01:11:12.413	(0.02, 0.68, 0.91)
2023-11-12 01:11:12.511	(0.02, 0.68, 0.91)
2023-11-12 01:11:12.613	(0.02, 0.68, 0.91)
