Time	Position
2023-11-12 01:03:58.955	(0.03, 0.75, 0.91)
2023-11-12 01:04:00.572	(0.03, 0.75, 0.91)
2023-11-12 01:04:00.574	(0.03, 0.75, 0.91)
2023-11-12 01:04:00.576	(0.03, 0.75, 0.91)
2023-11-12 01:04:00.655	(0.03, 0.75, 0.91)
2023-11-12 01:04:00.659	(0.03, 0.75, 0.91)
2023-11-12 01:04:00.750	(0.03, 0.75, 0.91)
2023-11-12 01:04:00.852	(0.03, 0.75, 0.91)
2023-11-12 01:04:00.990	(0.03, 0.75, 0.91)
2023-11-12 01:04:01.053	(0.03, 0.75, 0.91)
2023-11-12 01:04:01.151	(0.03, 0.75, 0.91)
2023-11-12 01:04:01.254	(0.03, 0.75, 0.91)
2023-11-12 01:04:01.352	(0.03, 0.75, 0.91)
2023-11-12 01:04:01.481	(0.03, 0.75, 0.91)
2023-11-12 01:04:01.551	(0.03, 0.75, 0.91)
2023-11-12 01:04:01.651	(0.03, 0.75, 0.91)
2023-11-12 01:04:01.752	(0.03, 0.75, 0.91)
2023-11-12 01:04:01.850	(0.03, 0.75, 0.91)
2023-11-12 01:04:01.951	(0.03, 0.75, 0.91)
2023-11-12 01:04:02.051	(0.03, 0.75, 0.91)
2023-11-12 01:04:02.186	(0.03, 0.75, 0.91)
2023-11-12 01:04:02.252	(0.03, 0.75, 0.91)
2023-11-12 01:04:02.349	(0.03, 0.75, 0.91)
2023-11-12 01:04:02.451	(0.03, 0.75, 0.91)
2023-11-12 01:04:02.549	(0.03, 0.75, 0.91)
2023-11-12 01:04:02.802	(0.03, 0.72, 0.91)
2023-11-12 01:04:02.803	(0.02, 0.68, 0.91)
2023-11-12 01:04:02.867	(0.02, 0.68, 0.91)
2023-11-12 01:04:02.950	(0.02, 0.68, 0.91)
2023-11-12 01:04:03.049	(0.02, 0.68, 0.91)
2023-11-12 01:04:03.149	(0.02, 0.68, 0.91)
2023-11-12 01:04:03.251	(0.02, 0.68, 0.91)
2023-11-12 01:04:03.350	(0.02, 0.68, 0.91)
2023-11-12 01:04:03.452	(0.02, 0.68, 0.91)
2023-11-12 01:04:03.550	(0.02, 0.68, 0.91)
2023-11-12 01:04:03.649	(0.02, 0.68, 0.91)
2023-11-12 01:04:03.752	(0.02, 0.68, 0.91)
2023-11-12 01:04:03.852	(0.02, 0.68, 0.91)
2023-11-12 01:04:03.949	(0.02, 0.68, 0.91)
2023-11-12 01:04:04.048	(0.02, 0.68, 0.91)
2023-11-12 01:04:04.151	(0.02, 0.68, 0.91)
2023-11-12 01:04:04.250	(0.02, 0.68, 0.91)
2023-11-12 01:04:04.349	(0.02, 0.68, 0.91)
2023-11-12 01:04:04.450	(0.02, 0.68, 0.91)
2023-11-12 01:04:04.552	(0.02, 0.68, 0.91)
2023-11-12 01:04:04.648	(0.02, 0.68, 0.91)
2023-11-12 01:04:04.752	(0.02, 0.68, 0.91)
2023-11-12 01:04:04.851	(0.02, 0.68, 0.91)
2023-11-12 01:04:04.952	(0.02, 0.68, 0.91)
2023-11-12 01:04:05.067	(0.02, 0.68, 0.91)
2023-11-12 01:04:05.151	(0.02, 0.68, 0.91)
2023-11-12 01:04:05.251	(0.02, 0.68, 0.91)
2023-11-12 01:04:05.352	(0.02, 0.68, 0.91)
2023-11-12 01:04:05.453	(0.02, 0.68, 0.91)
2023-11-12 01:04:05.549	(0.02, 0.68, 0.91)
2023-11-12 01:04:05.650	(0.02, 0.68, 0.91)
2023-11-12 01:04:05.752	(0.02, 0.68, 0.91)
2023-11-12 01:04:05.850	(0.02, 0.68, 0.91)
2023-11-12 01:04:05.949	(0.02, 0.68, 0.91)
2023-11-12 01:04:06.051	(0.02, 0.68, 0.91)
2023-11-12 01:04:06.151	(0.02, 0.68, 0.91)
2023-11-12 01:04:06.251	(0.02, 0.68, 0.91)
2023-11-12 01:04:06.349	(0.02, 0.68, 0.91)
2023-11-12 01:04:06.454	(0.02, 0.68, 0.91)
2023-11-12 01:04:06.550	(0.02, 0.68, 0.91)
2023-11-12 01:04:06.654	(0.02, 0.68, 0.91)
2023-11-12 01:04:06.750	(0.02, 0.68, 0.91)
