Frame, FPS, Frame Time
1, 50, 0.02
2, 50, 0.02
3, 3, 0.3333333
4, 4.517128, 0.2213796
5, 22.2328, 0.0449786
6, 111.4405, 0.0089734
7, 70.16608, 0.0142519
8, 72.79504, 0.0137372
9, 72.17872, 0.0138545
10, 69.25064, 0.0144403
11, 73.77134, 0.0135554
12, 72.86452, 0.0137241
13, 71.64401, 0.0139579
14, 71.74991, 0.0139373
15, 72.44592, 0.0138034
16, 71.53997, 0.0139782
17, 71.90726, 0.0139068
18, 70.97736, 0.014089
19, 72.74632, 0.0137464
20, 72.06895, 0.0138756
21, 71.15311, 0.0140542
22, 23.9622, 0.0417324
23, 71.7494, 0.0139374
24, 72.59159, 0.0137757
25, 71.69589, 0.0139478
26, 71.53383, 0.0139794
27, 72.02639, 0.0138838
28, 71.67431, 0.013952
29, 72.04248, 0.0138807
30, 71.55482, 0.0139753
31, 70.86017, 0.0141123
32, 73.09247, 0.0136813
33, 70.33388, 0.0142179
34, 71.77051, 0.0139333
35, 73.09727, 0.0136804
36, 71.58144, 0.0139701
37, 70.01575, 0.0142825
38, 36.34487, 0.0275142
39, 70.73087, 0.0141381
40, 72.69661, 0.0137558
41, 71.56301, 0.0139737
42, 72.56841, 0.0137801
43, 69.65244, 0.014357
44, 73.62415, 0.0135825
45, 71.24232, 0.0140366
46, 73.17216, 0.0136664
47, 71.37504, 0.0140105
48, 71.70052, 0.0139469
49, 69.7788, 0.014331
50, 52.77853, 0.0189471
51, 52.15423, 0.0191739
52, 10.60604, 0.0942859
53, 20.2762, 0.0493189
54, 68.10644, 0.0146829
55, 67.55251, 0.0148033
56, 68.39852, 0.0146202
57, 69.8285, 0.0143208
58, 69.95992, 0.0142939
59, 69.81046, 0.0143245
60, 69.75008, 0.0143369
61, 70.17839, 0.0142494
62, 72.74473, 0.0137467
63, 68.6884, 0.0145585
64, 70.23113, 0.0142387
65, 72.34267, 0.0138231
66, 70.18283, 0.0142485
67, 72.46692, 0.0137994
68, 71.96004, 0.0138966
69, 70.63544, 0.0141572
70, 69.71848, 0.0143434
71, 73.51212, 0.0136032
72, 71.44184, 0.0139974
73, 72.6496, 0.0137647
74, 72.2841, 0.0138343
75, 74.19664, 0.0134777
76, 35.78138, 0.0279475
77, 70.38288, 0.014208
78, 72.05493, 0.0138783
79, 71.05099, 0.0140744
80, 71.81741, 0.0139242
81, 70.72536, 0.0141392
82, 72.88046, 0.0137211
83, 71.17033, 0.0140508
84, 71.5195, 0.0139822
85, 71.59528, 0.0139674
86, 72.12509, 0.0138648
87, 71.4827, 0.0139894
88, 71.68304, 0.0139503
89, 71.00609, 0.0140833
90, 71.76896, 0.0139336
91, 71.27686, 0.0140298
