Frame, FPS, Frame Time
1, 50, 0.02
2, 50, 0.02
3, 3, 0.3333333
4, 4.309227, 0.2320602
5, 18.95041, 0.0527693
6, 89.49026, 0.0111744
7, 70.00154, 0.0142854
8, 73.75991, 0.0135575
9, 71.20073, 0.0140448
10, 73.34013, 0.0136351
11, 72.49634, 0.0137938
12, 70.11934, 0.0142614
13, 71.28143, 0.0140289
14, 71.20073, 0.0140448
15, 74.19334, 0.0134783
16, 70.84311, 0.0141157
17, 70.56715, 0.0141709
18, 73.03162, 0.0136927
19, 73.08392, 0.0136829
20, 71.17641, 0.0140496
21, 72.39819, 0.0138125
22, 71.76793, 0.0139338
23, 71.75506, 0.0139363
24, 71.65788, 0.0139552
25, 72.34791, 0.0138221
26, 17.94678, 0.0557203
27, 71.39848, 0.0140059
28, 72.40553, 0.0138111
29, 70.82103, 0.0141201
30, 72.37252, 0.0138174
31, 71.07877, 0.0140689
32, 72.20686, 0.0138491
33, 71.16982, 0.0140509
34, 72.6132, 0.0137716
35, 71.15766, 0.0140533
36, 72.7765, 0.0137407
37, 70.78544, 0.0141272
38, 71.96004, 0.0138966
39, 72.2079, 0.0138489
40, 72.52263, 0.0137888
41, 71.27075, 0.014031
42, 71.7669, 0.013934
43, 69.7107, 0.014345
44, 74.25669, 0.0134668
45, 71.18451, 0.014048
46, 35.98714, 0.0277877
47, 71.30277, 0.0140247
48, 72.06376, 0.0138766
49, 50.30637, 0.0198782
50, 72.12769, 0.0138643
51, 12.15825, 0.0822487
52, 72.98791, 0.0137009
53, 75.25134, 0.0132888
54, 71.96368, 0.0138959
55, 66.08686, 0.0151316
56, 71.14248, 0.0140563
57, 69.26983, 0.0144363
58, 70.78744, 0.0141268
59, 68.92986, 0.0145075
60, 68.74884, 0.0145457
61, 17.8318, 0.0560796
62, 70.29531, 0.0142257
63, 72.92882, 0.013712
64, 68.82928, 0.0145287
65, 73.5597, 0.0135944
66, 71.68099, 0.0139507
67, 71.79008, 0.0139295
68, 71.13438, 0.0140579
69, 70.7719, 0.0141299
70, 72.33796, 0.013824
71, 72.11417, 0.0138669
72, 71.53229, 0.0139797
73, 74.62909, 0.0133996
74, 70.70586, 0.0141431
75, 70.52037, 0.0141803
76, 73.4085, 0.0136224
77, 70.18677, 0.0142477
78, 72.27, 0.013837
79, 68.56783, 0.0145841
80, 74.59847, 0.0134051
81, 71.70361, 0.0139463
82, 71.66609, 0.0139536
83, 72.32854, 0.0138258
84, 72.56841, 0.0137801
85, 35.73739, 0.0279819
86, 70.20746, 0.0142435
87, 70.6524, 0.0141538
88, 71.6815, 0.0139506
89, 70.3502, 0.0142146
90, 76.27474, 0.0131105
91, 71.00054, 0.0140844
